Estación:       NOGALES,  SON
Operada por:    SMN EMAS
Longitud:       110°54'50"  Latitud: 31°17'52"  Altitud: 1269

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC    RADSOL
30/01/2018 16:00        82        96     10.20     17.60      13.7        30     878.7       0.0     461.5
30/01/2018 17:00        83       103     10.91     21.50      17.8        25     878.6       0.0     640.2
30/01/2018 18:00        83       134      5.16     17.60      20.8        21     878.1       0.0     744.8
30/01/2018 19:00         3       358      4.18     15.70      22.8        18     877.2       0.0     777.3
30/01/2018 20:00        10       355      0.52     19.40      23.7        16     876.2       0.0     750.7
30/01/2018 21:00       243       323      2.69     13.80      25.0        14     875.2       0.0     642.7
30/01/2018 22:00       353       357      3.90     15.80      25.8        14     874.7       0.0     471.3
30/01/2018 23:00         3       360      7.14     17.50      24.9        14     874.2       0.0     249.7
31/01/2018 00:00       340       355     11.29     26.80      22.7        15     874.1       0.0      48.0
31/01/2018 01:00       323       335     12.62     26.70      20.3        17     874.4       0.0       0.0
31/01/2018 02:00       258       331      7.01     22.10      18.1        20     874.9       0.0       0.0
31/01/2018 03:00       289       288      6.63     11.10      16.3        22     875.1       0.0       0.0
31/01/2018 04:00       220       312      1.21      9.00      15.0        22     875.4       0.0       0.0
31/01/2018 05:00       236       256      1.60      7.80      13.7        24     875.7       0.0       0.0
31/01/2018 06:00       230       256      2.50      6.90      12.6        25     875.6       0.0       0.0
31/01/2018 07:00        92       229      1.80      5.90      11.7        27     875.2       0.0       0.0
31/01/2018 08:00        67        85      2.34      5.00      11.0        27     875.0       0.0       0.0
31/01/2018 09:00       186       309      0.24      9.70      10.7        27     874.7       0.0       0.0
31/01/2018 10:00       300       319      4.33      8.60       9.4        29     874.6       0.0       0.0
31/01/2018 11:00       237       316      1.91      8.30       9.3        30     874.4       0.0       0.0
31/01/2018 12:00       185       142      0.18      7.70       8.7        30     874.3       0.0       0.0
31/01/2018 13:00       121        98      2.03      6.70       8.7        30     874.6       0.0       0.0
31/01/2018 14:00       257       317      4.11      7.70       8.0        32     875.0       0.0      25.2
31/01/2018 15:00        76       122      2.51      5.60      14.0        25     875.1       0.0     228.7
31/01/2018 16:00       147       226      1.35      6.40      18.3        20     875.4       0.0     462.3
31/01/2018 17:00       196       229      2.44      7.50      20.4        18     875.6       0.0     640.5
31/01/2018 18:00       298       332      2.89     12.80      22.8        13     875.3       0.0     748.8
