72365 ABQ Albuquerque Observations at 12Z 22 Dec 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  836.0   1619   -2.5  -10.5     54   2.07      0     10  284.9  291.0  285.2
  834.0   1638   -2.7  -11.7     50   1.88    359     11  284.9  290.5  285.2
  814.1   1829   -4.1  -12.0     54   1.88    350     20  285.3  291.0  285.6
  798.0   1987   -5.3  -12.3     58   1.87    345     22  285.7  291.3  286.0
  788.0   2087   -4.9  -12.9     53   1.81    342     23  287.1  292.6  287.5
  783.3   2134   -5.2  -13.2     53   1.78    340     23  287.4  292.8  287.7
  762.0   2351   -6.3  -14.3     53   1.67    326     19  288.4  293.5  288.7
  753.5   2438   -7.1  -14.5     55   1.65    320     17  288.5  293.6  288.8
  724.4   2743   -9.8  -15.4     64   1.61    310     11  288.7  293.7  289.0
  703.0   2976  -11.9  -16.0     72   1.57    306      7  288.9  293.8  289.2
  700.0   3009  -12.3  -16.1     73   1.56    305      6  288.8  293.7  289.1
  693.0   3086  -12.9  -16.4     75   1.54    296      6  289.0  293.8  289.3
  682.0   3207  -13.1  -19.1     61   1.25    282      7  290.1  294.0  290.3
  669.0   3353  -14.3  -20.3     60   1.14    265      7  290.3  293.9  290.5
  663.0   3422  -14.9  -20.9     60   1.10    258      9  290.4  293.9  290.6
  642.5   3658  -16.6  -19.9     76   1.24    235     15  291.1  295.0  291.3
  632.0   3782  -17.5  -19.3     86   1.32    229     20  291.5  295.6  291.7
  623.0   3889  -18.3  -21.2     78   1.14    224     25  291.7  295.4  291.9
  617.0   3961  -18.5  -22.3     72   1.04    220     28  292.3  295.7  292.5
  616.9   3962  -18.5  -22.3     72   1.04    220     28  292.3  295.7  292.5
  611.0   4034  -18.7  -20.8     83   1.20    222     28  292.9  296.7  293.1
  607.0   4082  -18.9  -21.5     80   1.14    224     27  293.2  296.9  293.4
  601.0   4156  -19.3  -23.6     69   0.95    226     27  293.6  296.7  293.8
  596.0   4218  -19.3  -28.3     45   0.63    228     26  294.3  296.4  294.4
  592.1   4267  -17.9  -37.8     16   0.25    230     26  296.5  297.4  296.5
  591.0   4281  -17.5  -40.5     12   0.19    230     27  297.1  297.8  297.1
  575.0   4486  -16.7  -48.7      4   0.08    237     40  300.4  300.7  300.4
  568.5   4572  -17.2  -47.6      5   0.09    240     46  300.8  301.1  300.8
  555.0   4751  -18.3  -45.3      7   0.12    228     55  301.5  302.0  301.6
  545.7   4877  -17.9  -50.6      4   0.07    220     62  303.4  303.7  303.5
  531.0   5081  -17.3  -59.3      1   0.02    220     68  306.6  306.7  306.6
  523.9   5182  -17.4  -60.1      1   0.02    220     71  307.6  307.7  307.6
  511.0   5368  -17.7  -61.7      1   0.02    217     76  309.5  309.6  309.5
  500.0   5530  -18.9  -62.9      1   0.02    215     80  309.9  310.0  309.9
  482.4   5791  -20.8  -63.3      1   0.02    220     83  310.8  310.9  310.8
  462.7   6096  -22.9  -63.8      1   0.02    220     82  311.9  311.9  311.9
  400.0   7160  -30.5  -65.5      2   0.01    215     69  315.3  315.3  315.3
  399.0   7178  -30.5  -65.5      2   0.01    215     69  315.5  315.6  315.5
  391.3   7315  -31.0  -66.0      2   0.01    215     68  316.5  316.6  316.5
  385.0   7430  -31.5  -66.5      2   0.01    213     69  317.4  317.5  317.4
  374.6   7620  -32.8  -68.0      2   0.01    210     70  318.2  318.3  318.2
  338.0   8336  -37.5  -73.5      1   0.01    215     77  321.3  321.3  321.3
  314.0   8839  -39.5  -75.5      1   0.00    218     81  325.3  325.3  325.3
  306.0   9015  -39.1  -74.1      1   0.01    219     83  328.3  328.3  328.3
  300.3   9144  -40.1  -74.1      1   0.01    220     84  328.7  328.7  328.7
  300.0   9150  -40.1  -74.1      1   0.01    220     83  328.7  328.8  328.7
  272.0   9814  -43.9  -75.9      2   0.00    224     84  332.6  332.6  332.6
  269.0   9889  -43.5  -75.5      2   0.01    224     85  334.2  334.2  334.2
  262.3  10058  -44.2  -75.5      2   0.01    225     85  335.6  335.6  335.6
  262.0  10066  -44.2  -75.5      2   0.01    225     85  335.7  335.7  335.7
  259.0  10144  -44.5  -75.5      2   0.01    226     84  336.4  336.4  336.4
  250.0  10380  -46.3  -77.3      2   0.00    230     81  337.1  337.1  337.1
  227.0  11018  -49.3  -79.3      2   0.00    232     65  341.9  342.0  341.9
  210.0  11529  -49.5  -81.5      1   0.00    234     52  349.3  349.3  349.3
  206.0  11655  -48.3  -82.3      1   0.00    234     49  353.1  353.1  353.1
  200.0  11850  -48.9  -82.9      1   0.00    235     44  355.2  355.2  355.2
  193.0  12084  -49.3  -83.3      1   0.00    237     40  358.2  358.2  358.2
  191.0  12152  -48.9  -82.9      1   0.00    237     39  359.9  359.9  359.9
  181.1  12497  -51.1  -84.7      1   0.00    240     33  361.7  361.7  361.7
  172.8  12802  -53.1  -86.3      1   0.00    235     40  363.4  363.4  363.4
  168.0  12985  -54.3  -87.3      1   0.00    238     44  364.3  364.3  364.3
  160.0  13298  -54.7  -87.7      1   0.00    242     50  368.8  368.8  368.8
  155.0  13500  -55.7  -87.7      1   0.00    245     54  370.4  370.4  370.4
  152.0  13625  -54.7  -86.7      1   0.00    249     58  374.2  374.2  374.2
  151.0  13667  -54.8  -86.8      1   0.00    250     60  374.7  374.8  374.7
  150.0  13710  -54.9  -86.9      1   0.00    250     59  375.3  375.3  375.3
  149.9  13716  -54.9  -86.9      1   0.00    250     60  375.3  375.3  375.3
  147.0  13839  -55.5  -87.5      1   0.00    248     54  376.4  376.4  376.4
  145.0  13926  -55.5  -87.5      1   0.00    247     50  377.9  377.9  377.9
  144.0  13971  -54.3  -87.3      1   0.00    246     48  380.7  380.7  380.7
  142.9  14021  -54.1  -87.1      1   0.00    245     46  382.0  382.0  382.0
  141.0  14106  -53.7  -86.7      1   0.00    247     46  384.1  384.1  384.1
  136.0  14338  -53.9  -86.9      1   0.00    252     45  387.7  387.7  387.7
  127.0  14775  -56.3  -88.3      1   0.00    261     43  391.0  391.0  391.0
  123.8  14935  -56.4  -88.4      1   0.00    265     42  393.6  393.6  393.6
  122.0  15030  -56.5  -88.5      1   0.00    256     40  395.2  395.2  395.2
  118.0  15240  -58.4  -89.7      1   0.00    235     34  395.6  395.6  395.6
  116.0  15348  -59.3  -90.3      1   0.00    232     38  395.7  395.7  395.7
  113.0  15512  -59.1  -90.1      1   0.00    228     43  399.1  399.1  399.1
  107.0  15850  -61.6  -91.1      1   0.00    220     55  400.6  400.6  400.6
  105.0  15969  -62.5  -91.5      1   0.00    223     52  401.1  401.1  401.1
  103.0  16088  -62.3  -91.3      1   0.00    226     49  403.7  403.7  403.7
  100.0  16270  -63.3  -91.3      1   0.00    230     45  405.2  405.2  405.2
   95.7  16544  -57.7  -89.7      1   0.00    232     39  421.2  421.2  421.2
   92.3  16772  -56.9  -88.9      1   0.00    233     35  427.2  427.2  427.2
   85.0  17289  -60.9  -89.9      1   0.00    236     24  429.3  429.3  429.3
   75.9  17983  -64.3  -91.0      2   0.00    240     10  436.3  436.3  436.3
   73.4  18190  -65.3  -91.3      2   0.00    223     13  438.4  438.4  438.4
   72.2  18288  -65.1  -91.6      1   0.00    215     14  440.8  440.8  440.8
   71.2  18376  -64.9  -91.9      1   0.00    224     12  443.1  443.1  443.1
   70.0  18480  -62.3  -90.3      1   0.00    235      9  450.8  450.8  450.8
   69.8  18498  -62.1  -90.1      1   0.00    233      9  451.6  451.6  451.6
   68.7  18593  -62.3  -90.3      1   0.00    225     10  453.2  453.2  453.2
   67.4  18713  -62.5  -90.5      1   0.00    249     14  455.2  455.2  455.2
   66.2  18824  -59.9  -89.9      1   0.00    271     17  463.2  463.2  463.2
   65.4  18898  -60.0  -90.0      1   0.00    285     19  464.6  464.6  464.6
   64.7  18967  -60.1  -90.1      1   0.00    291     17  465.8  465.8  465.8
   63.6  19074  -58.3  -89.3      1   0.00    299     15  472.1  472.1  472.1
   62.3  19202  -58.7  -89.6      1   0.00    310     12  473.9  473.9  473.9
   54.3  20059  -61.5  -91.5      1   0.00    345      4  486.5  486.5  486.5
   51.2  20422  -60.6  -91.4      1   0.00      0      0  496.7  496.8  496.7
   50.0  20570  -60.3  -91.3      1   0.00     90      7  500.9  501.0  500.9
   48.8  20726  -60.0  -91.0      1   0.00     65     13  505.3  505.3  505.3
