72365 ABQ Albuquerque Observations at 12Z 22 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  836.0   1619   25.2    6.2     30   7.16    170      3  314.0  336.8  315.4
  829.0   1693   26.8    6.8     28   7.53    174      5  316.5  340.6  317.9
  816.2   1829   25.7    6.3     29   7.37    180      9  316.7  340.3  318.1
  788.2   2134   23.2    5.1     31   7.03    180     18  317.2  339.8  318.6
  786.0   2158   23.0    5.0     31   7.00    180     17  317.2  339.8  318.6
  776.0   2269   22.6    4.6     31   6.90    182     14  318.0  340.2  319.3
  770.0   2336   23.8    2.8     25   6.12    183     11  320.0  340.0  321.2
  761.0   2438   23.0    2.8     27   6.19    185      8  320.2  340.5  321.4
  747.0   2599   21.8    2.8     29   6.31    203      8  320.6  341.2  321.8
  739.0   2692   22.4    1.4     25   5.76    214      8  322.2  341.3  323.4
  734.6   2743   21.9    1.2     25   5.70    220      8  322.3  341.1  323.4
  700.0   3158   18.2   -0.8     28   5.18    265      7  322.6  339.9  323.6
  659.6   3658   13.6   -2.6     32   4.83    245      6  323.0  339.1  323.9
  616.0   4233    8.4   -4.6     39   4.44    297      3  323.4  338.2  324.2
  613.4   4267    8.1   -4.7     40   4.42    300      3  323.4  338.2  324.2
  568.8   4877    2.4   -6.5     52   4.17    295      8  323.8  337.9  324.6
  547.7   5182   -0.4   -7.3     59   4.04    320     13  324.0  337.6  324.8
  527.5   5486   -3.2   -8.2     68   3.92    325     12  324.1  337.3  324.9
  517.0   5648   -4.7   -8.7     74   3.85    341     15  324.1  337.2  324.9
  507.6   5791   -5.9   -9.5     76   3.68    355     18  324.4  336.9  325.1
  500.0   5910   -6.9  -10.2     77   3.54    350     20  324.6  336.6  325.3
  488.2   6096   -8.7  -10.9     84   3.43    340     21  324.6  336.3  325.3
  488.0   6099   -8.7  -10.9     84   3.43    340     21  324.6  336.3  325.3
  480.0   6227   -9.3  -13.4     72   2.85    331     22  325.4  335.3  326.0
  469.3   6401  -10.8  -14.3     75   2.71    320     24  325.7  335.1  326.2
  467.0   6439  -11.1  -14.5     76   2.68    320     24  325.7  335.0  326.3
  460.0   6555  -11.7  -16.7     66   2.26    321     24  326.4  334.3  326.8
  450.0   6723  -13.1  -19.1     61   1.89    321     23  326.7  333.4  327.1
  424.0   7173  -16.9  -18.6     87   2.09    323     22  327.4  334.8  327.9
  416.0   7316  -17.1  -20.8     73   1.76    324     22  329.0  335.3  329.3
  411.0   7407  -17.3  -26.3     45   1.09    324     22  329.9  333.9  330.1
  408.0   7462  -16.9  -35.9     18   0.44    324     21  331.1  332.8  331.1
  407.0   7480  -17.1  -40.1     12   0.29    324     21  331.0  332.2  331.1
  400.0   7610  -18.1  -40.1     13   0.29    325     21  331.4  332.6  331.4
  399.5   7620  -18.2  -40.3     13   0.29    325     21  331.4  332.6  331.5
  383.4   7925  -20.2  -46.0      8   0.16    320     23  332.7  333.3  332.7
  378.0   8029  -20.9  -47.9      7   0.13    311     24  333.1  333.6  333.1
  375.0   8088  -20.9  -45.9      9   0.17    307     24  333.8  334.5  333.9
  372.0   8147  -21.3  -37.3     22   0.42    302     24  334.1  335.7  334.2
  369.0   8207  -21.9  -36.9     24   0.44    297     25  334.1  335.8  334.1
  367.8   8230  -22.0  -38.4     21   0.38    295     25  334.2  335.7  334.2
  361.0   8367  -22.9  -46.9      9   0.16    295     28  334.8  335.5  334.8
  352.8   8534  -24.2  -49.0      8   0.13    295     32  335.2  335.8  335.2
  350.0   8593  -24.7  -49.7      8   0.12    294     31  335.4  335.9  335.4
  343.0   8740  -24.7  -54.7      4   0.07    290     28  337.3  337.6  337.3
  327.0   9085  -27.1  -57.1      4   0.05    281     22  338.6  338.9  338.6
  324.3   9144  -27.3  -52.4      7   0.09    280     21  339.2  339.6  339.2
  321.0   9218  -27.5  -46.5     15   0.18    279     20  339.9  340.6  339.9
  313.0   9398  -28.5  -51.5      9   0.11    276     18  340.9  341.4  341.0
  310.8   9449  -29.0  -50.8     10   0.12    275     17  341.0  341.5  341.0
  300.0   9700  -31.3  -47.3     19   0.18    285     19  341.1  341.9  341.2
  295.0   9819  -32.3  -46.3     24   0.20    279     19  341.4  342.2  341.4
  285.0  10063  -33.5  -66.5      2   0.02    267     19  343.0  343.1  343.0
  273.0  10364  -36.1  -73.1      1   0.01    251     20  343.5  343.5  343.5
  265.0  10570  -38.1  -67.1      3   0.02    241     20  343.5  343.6  343.5
  261.0  10675  -38.9  -56.9     13   0.07    235     20  343.8  344.1  343.9
  251.0  10943  -41.5  -55.5     20   0.08    221     20  343.8  344.2  343.9
  250.0  10970  -41.7  -55.7     20   0.08    220     20  343.9  344.3  343.9
  246.0  11079  -42.7  -60.7     12   0.04    224     20  344.0  344.2  344.0
  239.0  11274  -44.5  -61.5     13   0.04    232     20  344.2  344.4  344.2
  235.0  11387  -45.7  -57.7     25   0.07    237     19  344.0  344.3  344.0
  225.0  11676  -47.9  -60.9     21   0.05    248     19  344.9  345.2  345.0
  217.0  11915  -48.5  -73.5      4   0.01    258     19  347.6  347.6  347.6
  210.0  12131  -49.1  -81.1      1   0.00    267     18  349.9  350.0  349.9
  200.0  12450  -51.9  -81.9      2   0.00    280     18  350.4  350.4  350.4
  190.0  12780  -54.9  -79.9      3   0.00    270     16  350.8  350.8  350.8
  176.0  13266  -57.7  -79.7      4   0.00    256     14  353.9  353.9  353.9
  171.0  13447  -57.9  -79.9      4   0.00    250     13  356.5  356.5  356.5
  150.0  14260  -64.5  -82.5      7   0.00    225      9  358.8  358.8  358.8
  141.0  14635  -67.3  -84.3      7   0.00    225     12  360.3  360.3  360.3
  139.0  14722  -66.9  -83.9      7   0.00    225     13  362.4  362.5  362.4
  130.0  15124  -69.3  -85.3      8   0.00    225     16  365.1  365.2  365.1
  128.0  15216  -69.1  -85.1      8   0.00    225     17  367.1  367.1  367.1
  127.5  15240  -69.2  -85.2      8   0.00    225     17  367.3  367.3  367.3
  119.0  15649  -71.7  -86.7      9   0.00    255     15  370.1  370.1  370.1
  115.0  15852  -69.9  -85.9      8   0.00    250     15  377.1  377.1  377.1
  112.0  16009  -69.9  -85.9      8   0.00    246     15  379.9  379.9  379.9
  105.0  16391  -71.9  -86.9      9   0.00    237     14  383.2  383.2  383.2
  100.0  16680  -69.9  -85.9      8   0.00    230     14  392.4  392.4  392.4
   95.8  16935  -69.1  -86.1      7   0.00    199     15  398.8  398.8  398.8
   89.8  17320  -70.9  -87.9      7   0.00    153     17  402.7  402.7  402.7
   84.6  17678  -68.5  -87.9      5   0.00    110     19  414.4  414.5  414.4
   79.2  18071  -65.9  -87.9      3   0.00    116     16  427.7  427.7  427.7
   76.4  18288  -66.7  -88.7      3   0.00    120     15  430.5  430.5  430.5
   76.3  18297  -66.7  -88.7      3   0.00    122     15  430.6  430.6  430.6
   72.7  18590  -64.9  -88.9      2   0.00    180      8  440.4  440.4  440.4
   70.0  18820  -65.5  -90.5      2   0.00    225      3  443.9  443.9  443.9
   69.1  18898  -65.6  -90.6      2   0.00    250      3  445.2  445.3  445.2
   66.3  19150  -66.1  -91.1      2   0.00    333     11  449.6  449.6  449.6
   65.7  19202  -66.0  -91.2      2   0.00    350     13  450.9  450.9  450.9
   61.9  19568  -65.1  -92.1      1   0.00     41     18  460.7  460.7  460.7
   59.5  19812  -66.5  -92.5      2   0.00     75     21  462.9  462.9  462.9
   59.4  19818  -66.5  -92.5      2   0.00     75     21  463.0  463.0  463.0
   58.7  19890  -65.1  -92.1      1   0.00     75     20  467.7  467.7  467.7
   56.5  20117  -65.3  -92.3      1   0.00     75     16  472.2  472.2  472.2
   53.8  20422  -65.6  -92.6      1   0.00    110     20  478.3  478.3  478.3
   53.3  20478  -65.7  -92.7      1   0.00    105     19  479.4  479.4  479.4
   52.4  20582  -63.3  -91.3      1   0.00     97     16  487.3  487.3  487.3
   51.2  20726  -63.6  -91.6      1   0.00     85     12  489.9  489.9  489.9
   50.0  20870  -63.9  -91.9      1   0.00     65     14  492.5  492.5  492.5
   49.7  20907  -63.9  -91.9      1   0.00     64     14  493.3  493.3  493.3
   48.7  21031  -63.6  -92.0      1   0.00     60     16  496.9  496.9  496.9
   46.4  21336  -62.8  -92.2      1   0.00     95     23  505.8  505.8  505.8
   44.1  21641  -62.1  -92.4      1   0.00     60     14  514.9  514.9  514.9
