00Z 01 01 2017, 43.62, 11.62
12Z 01 01 2017, 0.00, 9.00
00Z 02 01 2017, 0.00, 8.62
12Z 02 01 2017, 0.00, 6.22
00Z 03 01 2017, 0.00, 8.00
12Z 03 01 2017, 0.00, 7.57
00Z 04 01 2017, 0.00, 9.03
12Z 04 01 2017, 0.00, 10.12
00Z 05 01 2017, 0.00, 9.62
12Z 05 01 2017, 0.00, 12.38
00Z 06 01 2017, 0.00, 12.21
12Z 06 01 2017, 0.00, 8.74
00Z 07 01 2017, 0.00, 1.59
12Z 07 01 2017, 0.00, 2.49
00Z 08 01 2017, 0.00, 7.27
12Z 08 01 2017, 0.00, 10.62
00Z 09 01 2017, 0.00, 13.93
12Z 09 01 2017, 0.00, 10.03
00Z 10 01 2017, 0.00, 12.47
12Z 10 01 2017, 0.00, 6.96
00Z 11 01 2017, 0.00, 6.53
12Z 11 01 2017, 0.00, 8.77
00Z 12 01 2017, 0.00, 7.21
12Z 12 01 2017, 0.00, 6.18
00Z 13 01 2017, 0.00, 4.41
12Z 13 01 2017, 0.00, 7.76
00Z 14 01 2017, 0.00, 9.00
12Z 14 01 2017, 0.00, 9.68
00Z 15 01 2017, 0.00, 10.37
12Z 15 01 2017, 0.00, 14.56
00Z 16 01 2017, 0.00, 12.71
12Z 16 01 2017, 0.00, 10.45
00Z 17 01 2017, 36.04, 8.98
12Z 17 01 2017, 0.00, 9.66
00Z 18 01 2017, 0.00, 8.51
12Z 18 01 2017, 0.00, 9.63
00Z 19 01 2017, 1.93, 9.90
12Z 19 01 2017, 0.00, 6.30
00Z 20 01 2017, 0.00, 11.04
12Z 20 01 2017, 12.29, 8.28
00Z 21 01 2017, 0.00, 9.28
12Z 21 01 2017, 0.00, 9.87
00Z 22 01 2017, 10.26, 5.19
12Z 22 01 2017, 0.00, 5.51
00Z 23 01 2017, 0.00, 10.36
12Z 23 01 2017, 0.00, 10.61
00Z 24 01 2017, 0.00, 6.28
12Z 24 01 2017, 0.00, 8.50
00Z 25 01 2017, 36.00, 3.16
12Z 25 01 2017, 0.00, 3.89
00Z 26 01 2017, 4.40, 3.83
12Z 26 01 2017, 0.00, 3.55
00Z 27 01 2017, 0.00, 3.33
12Z 27 01 2017, 0.00, 3.40
00Z 28 01 2017, 0.00, 2.01
12Z 28 01 2017, 0.00, 2.93
00Z 29 01 2017, 0.00, 4.05
12Z 29 01 2017, 0.00, 4.64
00Z 30 01 2017, 0.00, 4.81
12Z 30 01 2017, 0.00, 5.53
00Z 31 01 2017, 0.00, 4.16
12Z 31 01 2017, 0.00, 5.96
00Z 01 02 2017, 0.00, 4.71
12Z 01 02 2017, 0.00, 5.42
00Z 02 02 2017, 0.00, 3.14
12Z 02 02 2017, 0.00, 2.87
00Z 03 02 2017, 0.00, 3.67
12Z 03 02 2017, 0.00, 5.63
00Z 04 02 2017, 0.00, 4.59
12Z 04 02 2017, 0.00, 2.92
00Z 05 02 2017, 0.00, 3.90
12Z 05 02 2017, 0.00, 4.08
00Z 06 02 2017, 0.00, 4.29
12Z 06 02 2017, 0.00, 8.51
00Z 07 02 2017, 0.00, 10.24
12Z 07 02 2017, 0.00, 10.22
00Z 08 02 2017, 0.00, 12.47
12Z 08 02 2017, 0.00, 10.05
00Z 09 02 2017, 0.00, 8.52
12Z 09 02 2017, 0.00, 8.10
00Z 10 02 2017, 0.00, 8.71
12Z 10 02 2017, 0.00, 10.49
00Z 11 02 2017, 0.00, 9.60
12Z 11 02 2017, 0.00, 9.00
00Z 12 02 2017, 0.00, 9.38
12Z 12 02 2017, 0.00, 11.11
00Z 13 02 2017, 0.00, 11.86
12Z 13 02 2017, 0.00, 11.34
00Z 14 02 2017, 0.00, 11.51
12Z 14 02 2017, 0.00, 10.77
00Z 15 02 2017, 0.00, 8.52
12Z 15 02 2017, 0.00, 7.13
00Z 16 02 2017, 0.00, 5.61
12Z 16 02 2017, 0.00, 4.99
00Z 17 02 2017, 0.00, 4.35
12Z 17 02 2017, 0.00, 4.63
00Z 18 02 2017, 4.50, 13.12
12Z 18 02 2017, 0.00, 10.50
00Z 19 02 2017, 0.00, 7.49
12Z 19 02 2017, 0.00, 12.77
00Z 20 02 2017, 1.58, 7.62
12Z 20 02 2017, 0.00, 7.29
00Z 21 02 2017, 0.00, 5.82
12Z 21 02 2017, 0.00, 8.87
00Z 22 02 2017, 0.00, 7.36
12Z 22 02 2017, 0.00, 12.95
00Z 23 02 2017, 0.00, 12.18
12Z 23 02 2017, 0.00, 4.65
00Z 24 02 2017, 0.00, 2.38
12Z 24 02 2017, 0.00, 4.42
00Z 25 02 2017, 0.00, 2.37
12Z 25 02 2017, 0.00, 2.81
00Z 26 02 2017, 0.00, 3.11
12Z 26 02 2017, 0.00, 6.17
00Z 27 02 2017, 0.00, 7.07
12Z 27 02 2017, 0.00, 5.78
00Z 28 02 2017, 0.00, 5.27
12Z 28 02 2017, 0.00, 10.12
00Z 01 03 2017, 44.99, 6.23
12Z 01 03 2017, 0.00, 4.18
00Z 02 03 2017, 0.00, 1.39
12Z 02 03 2017, 0.00, 1.93
00Z 03 03 2017, 0.00, 2.02
12Z 03 03 2017, 0.00, 2.25
00Z 04 03 2017, 0.00, 3.89
12Z 04 03 2017, 0.00, 8.21
00Z 05 03 2017, 0.00, 7.85
12Z 05 03 2017, 0.00, 6.40
00Z 06 03 2017, 0.00, 10.01
12Z 06 03 2017, 0.00, 7.06
00Z 07 03 2017, 0.00, 4.51
12Z 07 03 2017, 0.00, 2.81
00Z 08 03 2017, 0.00, 2.98
12Z 08 03 2017, 0.00, 4.56
00Z 09 03 2017, 0.00, 5.65
12Z 09 03 2017, 0.00, 5.75
00Z 10 03 2017, 0.00, 5.84
12Z 10 03 2017, 0.00, 3.45
00Z 11 03 2017, 0.00, 5.61
12Z 11 03 2017, 0.00, 4.62
00Z 12 03 2017, 0.00, 6.21
12Z 12 03 2017, 0.00, 7.06
00Z 13 03 2017, 211.49, 8.29
12Z 13 03 2017, 0.00, 5.69
00Z 14 03 2017, 0.00, 7.05
12Z 14 03 2017, 0.00, 5.26
00Z 15 03 2017, 0.00, 2.78
12Z 15 03 2017, 0.00, 3.02
00Z 16 03 2017, 0.00, 3.59
12Z 16 03 2017, 0.00, 6.03
00Z 17 03 2017, 0.00, 5.40
12Z 17 03 2017, 0.00, 6.21
00Z 18 03 2017, 0.00, 5.90
12Z 18 03 2017, 0.00, 8.02
00Z 19 03 2017, 0.00, 8.42
12Z 19 03 2017, 0.00, 6.89
00Z 20 03 2017, 0.00, 5.41
12Z 20 03 2017, 0.00, 6.92
00Z 21 03 2017, 0.00, 8.61
12Z 21 03 2017, 0.00, 10.00
00Z 22 03 2017, 0.00, 11.83
12Z 22 03 2017, 0.00, 7.57
00Z 23 03 2017, 0.00, 8.06
12Z 23 03 2017, 0.00, 6.48
00Z 24 03 2017, 0.00, 7.93
12Z 24 03 2017, 0.00, 10.89
00Z 25 03 2017, 0.00, 5.05
12Z 25 03 2017, 0.00, 5.46
00Z 26 03 2017, 0.00, 6.77
12Z 26 03 2017, 0.00, 7.65
00Z 27 03 2017, 0.00, 7.27
12Z 27 03 2017, 0.00, 8.77
00Z 28 03 2017, 0.00, 9.57
12Z 28 03 2017, 0.47, 10.55
00Z 29 03 2017, 0.00, 9.28
12Z 29 03 2017, 0.00, 12.08
00Z 30 03 2017, 10.36, 9.42
12Z 30 03 2017, 0.00, 5.17
00Z 31 03 2017, 0.00, 7.77
12Z 31 03 2017, 0.00, 5.20
00Z 01 04 2017, 0.00, 7.48
12Z 01 04 2017, 0.00, 8.11
00Z 02 04 2017, 0.00, 7.86
12Z 02 04 2017, 0.00, 7.22
00Z 03 04 2017, 0.00, 7.41
12Z 03 04 2017, 0.00, 10.53
00Z 04 04 2017, 21.65, 10.57
12Z 04 04 2017, 0.16, 8.12
00Z 05 04 2017, 0.00, 2.21
12Z 05 04 2017, 0.00, 3.00
00Z 06 04 2017, 0.00, 5.14
12Z 06 04 2017, 0.00, 5.41
00Z 07 04 2017, 0.00, 6.88
12Z 07 04 2017, 0.00, 7.91
00Z 08 04 2017, 0.00, 7.71
12Z 08 04 2017, 0.00, 7.00
00Z 09 04 2017, 6.63, 8.62
12Z 09 04 2017, 0.00, 7.39
00Z 10 04 2017, 0.00, 3.23
12Z 10 04 2017, 0.00, 4.11
00Z 11 04 2017, 0.00, 3.40
12Z 11 04 2017, 0.00, 4.45
00Z 12 04 2017, 0.00, 5.29
12Z 12 04 2017, 0.00, 10.43
00Z 13 04 2017, 151.14, 9.15
12Z 13 04 2017, 0.00, 7.92
00Z 14 04 2017, 19.69, 8.93
12Z 14 04 2017, 0.00, 6.52
00Z 15 04 2017, 24.79, 6.20
12Z 15 04 2017, 0.00, 2.87
00Z 16 04 2017, 0.00, 5.43
12Z 16 04 2017, 0.00, 5.01
00Z 17 04 2017, 0.00, 4.82
12Z 17 04 2017, 0.00, 6.31
00Z 18 04 2017, 2.10, 7.60
12Z 18 04 2017, 0.00, 7.45
00Z 19 04 2017, 0.00, 7.03
12Z 19 04 2017, 0.00, 6.22
00Z 20 04 2017, 0.00, 6.61
12Z 20 04 2017, 0.00, 7.82
00Z 21 04 2017, 65.11, 6.41
12Z 21 04 2017, 0.00, 4.37
00Z 22 04 2017, 0.00, 6.87
12Z 22 04 2017, 0.00, 8.20
00Z 23 04 2017, 0.00, 7.62
12Z 23 04 2017, 0.00, 8.09
00Z 24 04 2017, 0.00, 10.07
